original_value,short_value,notes
"{Business Process Management - 20th International Conference, BPM 2022, M{\""u}nster, Germany, September 11-16, 2022, Proceedings.}",Proceedings of BPM 2022,
"{Proceedings of the Doctoral Consortium Papers Presented at the 33rd International Conference on Advanced Information Systems Engineering (CAiSE 2021), Melbourne, Australia, June 28 - July 2, 2021}",Proceedings of CAiSE 2021,
Global Intellectual History,Glob. Intellect. History,
"{{EMOI} - INTEROP'05, Enterprise Modelling and Ontologies for Interoperability, Proceedings of the Open Interop Workshop on Enterprise Modelling and Ontologies for Interoperability, Co-located with CAiSE'05 Conference, Porto (Portugal), 13th-14th June 2005}",EMOI-INTEROP@CAiSE 2005,
Journal of Computational and Applied Mathematics,J. Comput. Appl. Math.,
"{Joint Proceedings of the Radar tracks at the 18th International Working Conference on Business Process Modeling, Development and Support (BPMDS), and the 22nd International Working Conference on Evaluation and Modeling Methods for Systems Analysis and Development (EMMSAD), and the 8th International Workshop on Enterprise Modeling and Information Systems Architectures {(EMISA)} co-located with the 29th International Conference on Advanced Information Systems Engineering 2017 (CAiSE 2017), Essen, Germany, June 12-13, 2017}",BPMDS+EMMSAD+EMISA@CAiSE 2017,
IEEE Std 1849-2016,IEEE Std 1849-2016,
International Journal of Service Industry Management,Int. J. Serv. Ind. Manag.,
Business Process Management Journal,Bus. Process. Manag. J.,
"{Proceedings of the Eighteenth Annual {ACM-SIAM} Symposium on Discrete Algorithms, {SODA} 2007, New Orleans, Louisiana, USA, January 7-9, 2007}",Proceedings of ACM-SIAM SODA 2007,
IEEE Transactions on Information Theory,IEEE Trans. Inf. Theory,
Journal of the American Statistical Association,J. Am. Stat. Assoc.,
"{Advanced Information Systems Engineering - 25th International Conference, CAiSE 2013, Valencia, Spain, June 17-21, 2013. Proceedings}",Proceedings of CAiSE 2013,
"{AIP Conference Proceedings - The Physics of VLSI 1-3, August 1984, Palo Alto, CA, USA}",Proceedings of AIP Conference - The Physics of VLSI 1984,
Journal of the Operational Research Society,J. Oper. Res. Soc.,
IEEE Transactions on Evolutionary Computation,IEEE Trans. Evol. Comput.,
Science,Science,
Harvard Business Review,Harvard Bus. Rev.,
Decision Support Systems,Decis. Support Syst.,
{Proceedings of the 14th International Joint Conference on Artificial Intelligence - Volume 2},Proceedings of IJCAI 1995,
"{Enterprise, Business-Process and Information Systems Modeling - 16th International Conference, {BPMDS} 2015, 20th International Conference, {EMMSAD} 2015, Held at CAiSE 2015, Stockholm, Sweden, June 8-9, 2015}",BPMDS+EMMSAD@CAiSE 2005,
"{Business Process Management - 19th International Conference, {BPM} 2021, Rome, Italy, September 06-10, 2021, Proceedings}",Proceedings of BPM 2021,
"{Business Process Management - 16th International Conference, {BPM} 2018, Sydney, NSW, Australia, September 9-14, 2018, Proceedings}",Proceedings of BPM 2018,
"{Advanced Information Systems Engineering - 27th International Conference, CAiSE 2015, Stockholm, Sweden, June 8-12, 2015, Proceedings}",Proceedings of CAiSE 2015,
